source_row,source_rows,source_page,generic_name,strength,dosage_form,route,base_uom,canonical_key,matched_product_id,import_status,notes
"35","35","3","Bendamustine","100 mg","Injection","","Piece","bendamustine|100mg|injection","37e35a4f-2973-4595-83d1-60f2935b500e","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"36","36","3","Benzoyl Peroxide","5.00 %","Gel","","Piece","benzoylperoxide|500|gel","c4294749-7af6-4185-87d1-f92c0ac827d7","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"37","37","3","Betahistine","16 mg","Tablet","","Tablet","betahistine|16mg|tablet","543b21ba-6fe9-4ee5-993d-1b030bbe1d57","EXISTING_MATCH","Explicit tablet dosage form."
"38","38","3","Betamethasone","0.10 %","Eye/ear Drops","","Piece","betamethasone|010|eyeeardrops","a3ccf582-5b99-41aa-9a6a-dda47b63feec","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"39","39,265","3","Betahistine","8 mg","Tablet","","Tablet","betahistine|8mg|tablet","5986d1ac-9a3d-4beb-9deb-eac17c780785","EXISTING_MATCH","Explicit tablet dosage form."
"40","40","3","Sterile Cardioplagia Solution","20 mL","Infusion","","Piece","sterilecardioplagiasolution|20ml|infusion","1c338012-292e-4dc4-a47b-d4d64805f657","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"41","41","3","Bisoprolol","2.5 mg","Tablet","","Tablet","bisoprolol|25mg|tablet","88787157-0a52-42c9-babd-4dcf5acc4428","EXISTING_MATCH","Explicit tablet dosage form."
"42","42","3","Budesonide","0.5 mg/2 mL","Nebulizer Suspension","","Piece","budesonide|05mg2ml|nebulizersuspension","21fa22d8-6692-405b-b540-9fda6af7c93c","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"43","43","3","Cholecalciferol","60,000 IU","Tablet (chewable)","","Tablet","cholecalciferol|60000iu|tabletchewable","c1eeeb70-6b9b-488a-b26d-46950182708b","EXISTING_MATCH","Explicit tablet dosage form."
"44","44","3","Cholecalciferol","400 IU","Tablet (chewable)","","Tablet","cholecalciferol|400iu|tabletchewable","d208909a-ccc4-4747-b69b-b5e483696ffc","EXISTING_MATCH","Explicit tablet dosage form."
"45","45","3","Clotrimazole","1 %","Cream","","Piece","clotrimazole|1|cream","53dd03bc-45c9-41e7-859b-edf667f4172e","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"46","46","3","Capecitabine","500 mg","Tablet","","Tablet","capecitabine|500mg|tablet","1ea8a0cd-051f-4dde-9739-08915d14e3f1","EXISTING_MATCH","Explicit tablet dosage form."
"47","47","4","Carbamazepine","100 mg","Tablet","","Tablet","carbamazepine|100mg|tablet","5a906bf0-808e-4f01-af4f-424ca26baf2c","EXISTING_MATCH","Explicit tablet dosage form."
"48","48","4","Carbimazole","5 mg","Tablet","","Tablet","carbimazole|5mg|tablet","ea494855-40fe-4c03-af4b-946ffe3935c2","EXISTING_MATCH","Explicit tablet dosage form."
"49","49,313","4","Carvedilol","6.25 mg","Tablet","","Tablet","carvedilol|625mg|tablet","0c449896-1672-44d4-a2b2-9bab5c80cb12","EXISTING_MATCH","Explicit tablet dosage form."
"50","50","4","Aspirin","300 mg","Tablet","","Tablet","aspirin|300mg|tablet","9f873ffc-d605-46ea-b0cf-586f4d648296","EXISTING_MATCH","Explicit tablet dosage form."
"51","51","4","Cefuroxime","125 mg","Tablet","","Tablet","cefuroxime|125mg|tablet","2257bcc4-2d84-4605-9c6e-45fa4e27097f","EXISTING_MATCH","Explicit tablet dosage form."
"52","52","4","Metformin","1000 mg","Tablet","","Tablet","metformin|1000mg|tablet","0fc4c85b-cfe0-427d-9e6d-948c3386e80d","EXISTING_MATCH","Explicit tablet dosage form."
"53","53","4","Diclofenac Sodium","100 mg","Tablet (gastro- Resistant)","","Tablet","diclofenacsodium|100mg|tabletgastroresistant","80da9552-045b-4392-8ff8-b73a6d2b2324","EXISTING_MATCH","Explicit tablet dosage form."
"54","54","4","Gemcitabine","200 mg","Injection","","Piece","gemcitabine|200mg|injection","b848e695-6ee6-4e67-83eb-b9f89ded6267","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"55","55","4","Cefixime","200 mg","Tablet","","Tablet","cefixime|200mg|tablet","c27a7687-08f1-40da-86ac-7e8172ab687d","EXISTING_MATCH","Explicit tablet dosage form."
"56","56,332","4","Cisatracurium Besylate","10 mg/5 mL","Injection","","Piece","cisatracuriumbesylate|10mg5ml|injection","8d20b3ab-0555-45c9-9b6b-61e5773a4a52","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"57","57","4","Clindamycin","150 mg","Capsule","","Capsule","clindamycin|150mg|capsule","a9cfcbbb-faf8-42a9-a074-b69a5786b8e2","EXISTING_MATCH","Explicit capsule dosage form."
"58","58","4","Clobazam","10 mg","Tablet","","Tablet","clobazam|10mg|tablet","8db0314a-b2b1-437d-b034-b20ce1c7e5a8","EXISTING_MATCH","Explicit tablet dosage form."
"59","59","4","Clopidogrel","75 mg","Tablet","","Tablet","clopidogrel|75mg|tablet","91a4ee0d-ccf7-42ab-ba3e-18affb1e80e3","EXISTING_MATCH","Explicit tablet dosage form."
"60","60,104,105","4","Hydrocortisone","100 mg","Injection","","Piece","hydrocortisone|100mg|injection","9f30c693-7950-4f35-aea5-5ff551d8d137","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"61","61","4","Clobetasol","0.05 %","Ointment","","Piece","clobetasol|005|ointment","6e4589f3-6a69-453c-bba3-e42ff146835c","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"62","62","4","Dabigatran","110 mg","Capsule","","Capsule","dabigatran|110mg|capsule","1a8decc2-30cb-4823-8b13-a74914e50f57","EXISTING_MATCH","Explicit capsule dosage form."
"63","63","4","Terbinafine","250 mg","Tablet","","Tablet","terbinafine|250mg|tablet","5487d8c6-c781-4851-8b2a-a2b2a14a8ac8","EXISTING_MATCH","Explicit tablet dosage form."
"64","64","5","Darbepoetin Alfa","25 mcg/0.42 mL","Injection","","Piece","darbepoetinalfa|25mcg042ml|injection","3cfdacd5-1965-40b4-b83a-3738c7a5cf04","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"65","65","5","Cholecalciferol","10,000 IU","Capsule","","Capsule","cholecalciferol|10000iu|capsule","65da9bb2-d7e6-4c37-89e4-005d05f566ed","EXISTING_MATCH","Explicit capsule dosage form."
"66","66","5","Dexmedetomidine","200 mcg/2 mL","Injection","","Piece","dexmedetomidine|200mcg2ml|injection","1f987622-498f-4c6a-adb2-fd9d05355331","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"67","67","5","Metformin","850 mg","Tablet","","Tablet","metformin|850mg|tablet","33e5631f-ad0f-4278-8645-c22fffae2cee","EXISTING_MATCH","Explicit tablet dosage form."
"68","68","5","Aceclofenac","200 mg","Tablet (sustained Release)","","Tablet","aceclofenac|200mg|tabletsustainedrelease","56329c2f-4c28-44ad-b91c-7380f33ab5b5","EXISTING_MATCH","Explicit tablet dosage form."
"69","69","5","Dopamine","200 mg/5 mL","Injection","","Piece","dopamine|200mg5ml|injection","6b916d80-c815-4fa1-aa5b-750ce899f839","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"70","70","5","Doxycycline","100 mg","Capsule","","Capsule","doxycycline|100mg|capsule","fe0906e5-1004-4cd5-9a26-61fcf6c87a13","EXISTING_MATCH","Explicit capsule dosage form."
"71","71","5","Duloxetine","60 mg","Capsule (delayed Release)","","Capsule","duloxetine|60mg|capsuledelayedrelease","5a975bbb-9e25-4baa-a91a-37829d7429d5","EXISTING_MATCH","Explicit capsule dosage form."
"72","72","5","Ipratropium Bromide + Salbutamol","500 mcg + 2.5 mg/2.5 mL","Respirator Solution","","Piece","ipratropiumbromidesalbutamol|500mcg25mg25ml|respiratorsolution","5d94a9ad-2337-4ee2-ad5e-ed51161658ee","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"73","73","5","Cholecalciferol","60,000 IU","Capsule","","Capsule","cholecalciferol|60000iu|capsule","d3ce3e4f-1385-4d32-9e8b-d39bf9ccfa72","EXISTING_MATCH","Explicit capsule dosage form."
"74","74","5","Cefixime","100 mg/5 mL","Oral Suspension","","Piece","cefixime|100mg5ml|oralsuspension","e9699d26-e609-4369-ab43-d1935f79d381","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"75","75","5","Efavirenz","200 mg","Tablet","","Tablet","efavirenz|200mg|tablet","6f946dba-b372-4419-be99-3930fa984263","EXISTING_MATCH","Explicit tablet dosage form."
"76","76","5","Efavirenz","600 mg","Tablet","","Tablet","efavirenz|600mg|tablet","8578b18d-034b-475b-ada6-42847dcd36c6","EXISTING_MATCH","Explicit tablet dosage form."
"77","77","5","Esomeprazole","20 mg","Tablet","","Tablet","esomeprazole|20mg|tablet","c4fa84d5-e9d3-40b2-a8ab-5c5d483f9c9f","EXISTING_MATCH","Explicit tablet dosage form."
"78","78","5","Empagliflozin","25 mg","Tablet","","Tablet","empagliflozin|25mg|tablet","d8fe3aba-0c61-4e9d-9d64-14faa939b79d","EXISTING_MATCH","Explicit tablet dosage form."
"79","79","5","Eplerenone","25 mg","Tablet","","Tablet","eplerenone|25mg|tablet","24c3f11d-1558-4553-adb1-f08f3df51355","EXISTING_MATCH","Explicit tablet dosage form."
"80","80,81","6","Etomidate","20 mg/10 mL","Injection","","Piece","etomidate|20mg10ml|injection","8cf96f02-b70c-4e86-8d09-056425e194ea","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"82","82","6","Cefixime","100 mg","Tablet (dispersible)","","Tablet","cefixime|100mg|tabletdispersible","44638c1a-7eaf-4ea4-ab1b-3d8d9c5a4dc9","EXISTING_MATCH","Explicit tablet dosage form."
"83","83","6","Famotidine","20 mg","Tablet","","Tablet","famotidine|20mg|tablet","c9205061-a4fb-4e24-8c93-19dafa35b163","EXISTING_MATCH","Explicit tablet dosage form."
"84","84","6","Medroxyprogesterone","150 mg/mL","Injection","","Piece","medroxyprogesterone|150mgml|injection","d4ef43c5-ebc5-4391-9e68-650bafb50ea6","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"85","85","6","Fat Emulsion + Amino Acid (17)","20 % + 11 %","Infusion","","Piece","fatemulsionaminoacid17|2011|infusion","e573c5e0-9a77-4493-85c4-8dc4d995338f","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"86","86","6","Cefalexin","250 mg","Capsule","","Capsule","cefalexin|250mg|capsule","3aae6e29-cfdf-46df-947e-d1576bffdc34","EXISTING_MATCH","Explicit capsule dosage form."
"87","87","6","Formoterol + Fluticasone","5 mcg + 125 mcg/dose","Inhaler (metered Dose)","","Piece","formoterolfluticasone|5mcg125mcgdose|inhalermetereddose","6067a5f3-61c8-4404-b5a5-f392e12be09c","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"88","88","6","Ofloxacin","0.30 %","Eye Drops","","Drops","ofloxacin|030|eyedrops","1f691f8c-7800-4454-bec8-073381b5db46","EXISTING_MATCH","Explicit drops dosage form."
"89","89","6","Fluconazole","150 mg","Capsule","","Capsule","fluconazole|150mg|capsule","619cc8a6-9677-4c91-af04-bdfadcf47ab2","EXISTING_MATCH","Explicit capsule dosage form."
"90","90","6","Flumazenil","500 mcg/5 mL","Injection","","Piece","flumazenil|500mcg5ml|injection","1605c25f-023f-4dbc-95c3-0221a00971f5","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"91","91","6","Fluticasone","50 mcg/dose","Pressurized Inhalation","","Inhaler","fluticasone|50mcgdose|pressurizedinhalation","3af24cff-02e6-45e7-b305-cebec4b5e106","EXISTING_MATCH","Explicit inhaler presentation."
"92","92","6","Formoterol + Budesonide","6 mcg + 400 mcg","Inhalation Capsule","","Piece","formoterolbudesonide|6mcg400mcg|inhalationcapsule","a1b9a3c6-6cb6-40a2-ae4c-a73270fc73de","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"93","93","6","Framycetin Sulfate","1 %","Cream","","Piece","framycetinsulfate|1|cream","3977cd36-56b6-4fb9-8731-8a8cbd14448a","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"94","94","6","Fusidic Acid","2 %","Ointment","","Piece","fusidicacid|2|ointment","384c0cc2-2c2c-4eca-b3b3-a0a7b86a12d8","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"95","95","7","Gabapentin","100 mg","Capsule","","Capsule","gabapentin|100mg|capsule","1877cb02-4126-43d4-9cf8-465b6d948bb6","EXISTING_MATCH","Explicit capsule dosage form."
"96","96,231","7","Sitagliptin","100 mg","Tablet","","Tablet","sitagliptin|100mg|tablet","8f281a31-d7e3-48b0-a43c-666c1b38ccb8","EXISTING_MATCH","Explicit tablet dosage form."
"97","97,232","7","Sitagliptin","50 mg","Tablet","","Tablet","sitagliptin|50mg|tablet","c7e884c9-95e5-4f92-9fb7-45cb2fe58d6a","EXISTING_MATCH","Explicit tablet dosage form."
"98","98","7","Glimepiride","1 mg","Tablet","","Tablet","glimepiride|1mg|tablet","c8484b52-37f3-49f7-acb1-f79cfb9c9429","EXISTING_MATCH","Explicit tablet dosage form."
"99","99","7","Amphotericin B Liposomal","50 mg","Injection","","Piece","amphotericinbliposomal|50mg|injection","971fad3e-ba9e-451d-a556-104628a1e6ed","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"100","100","7","Methotrexate","50 mg/2 mL","Injection","","Piece","methotrexate|50mg2ml|injection","a31461d6-9065-4488-aa61-215a774e69e3","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"103","103","7","Hydralazine","20 mg/mL","Injection","","Piece","hydralazine|20mgml|injection","c7f38ed6-972e-49b8-bcb4-f3c33cb6c65d","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"106","106","7","Hydroxocobalamin","1 mg/mL","Injection","","Piece","hydroxocobalamin|1mgml|injection","f64e7fd1-60bc-4338-8c7a-d340a88e090d","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"107","107,108,109","7","Immunoglobulin (human Normal)","50 g/L","Solution For Infusion","","Piece","immunoglobulinhumannormal|50gl|solutionforinfusion","aafefd0c-d329-4411-9fd8-57aaf6b8cb77","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"110","110","7","Human Coagulation Factor Viii And Human Von Willebrand Factor","250 IU and 190 IU","Injection","","Piece","humancoagulationfactorviiiandhumanvonwillebrandfactor|250iuand190iu|injection","e5979bf0-a6b2-4464-a6e1-f0d9e785cb6d","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"111","111","8","Influenza Vaccine (inactivated Surface Antigen)","15 mcg/0.5 mL","Injection","","Piece","influenzavaccineinactivatedsurfaceantigen|15mcg05ml|injection","87b88fb7-2b88-43a1-ad7e-f57ca4bf6fdd","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"112","112","8","Irinotecan","100 mg/5 mL","Injection","","Piece","irinotecan|100mg5ml|injection","189cbb88-0a91-4981-86f8-9f465834daba","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"113","113,114,115,116","8","Iohexol","350 mg I/mL","Injection","","Piece","iohexol|350mgiml|injection","fc662229-e428-487d-82ed-8fa8b487a4e9","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"117","117","8","Everolimus","0.25 mg","Tablet","","Tablet","everolimus|025mg|tablet","d4e47ef6-0e37-4289-80bd-ae0e6e4d1e86","EXISTING_MATCH","Explicit tablet dosage form."
"118","118","8","Levetiracetam","750 mg","Tablet (extended Release)","","Tablet","levetiracetam|750mg|tabletextendedrelease","954c1b4a-2978-4c16-83f6-72424f850aad","EXISTING_MATCH","Explicit tablet dosage form."
"119","119","8","Calcium + Cholecalciferol","500 mg + 400 IU","Tablet (chewable)","","Tablet","calciumcholecalciferol|500mg400iu|tabletchewable","0cfbb45f-4183-490c-95fb-114fc6ed07c1","EXISTING_MATCH","Explicit tablet dosage form."
"120","120","8","Cefuroxime","750 mg","Injection","","Piece","cefuroxime|750mg|injection","b0e15d4b-7298-49e2-b2de-07f4af73587e","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"121","121","8","Cefalexin","125 mg/5 mL","Oral Suspension","","Piece","cefalexin|125mg5ml|oralsuspension","32c9d885-6cfd-4ac3-a354-0b4b42d62bb2","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"122","122","8","Phytomenadione","1 mg/0.5 mL","Injection","","Piece","phytomenadione|1mg05ml|injection","dab71ab2-252c-4788-8387-135fbf130cc7","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"123","123","8","Lamotrigine","50 mg","Tablet","","Tablet","lamotrigine|50mg|tablet","26bad9fc-b597-4309-8095-4959c7055e54","EXISTING_MATCH","Explicit tablet dosage form."
"124","124","8","Levocetirizine","5 mg","Tablet","","Tablet","levocetirizine|5mg|tablet","3007bd22-9569-44d1-be45-4e7d33bffbc3","EXISTING_MATCH","Explicit tablet dosage form."
"125","125","8","Lamivudine","150 mg","Tablet","","Tablet","lamivudine|150mg|tablet","b07f1c2d-d3f8-4b0f-9202-f912e5b88023","EXISTING_MATCH","Explicit tablet dosage form."
"126","126","8","Leucovorin Calcium","15 mg/2 mL","Injection","","Piece","leucovorincalcium|15mg2ml|injection","a2a05e40-8a93-49ca-822b-eb025e4e6b9b","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"127","127","9","Levetiracetam","750 mg","Tablet","","Tablet","levetiracetam|750mg|tablet","92f23ada-6646-4c45-935f-99194e48bbb2","EXISTING_MATCH","Explicit tablet dosage form."
"128","128,129,130,131,132,133,134,135","9","Lidocaine","2 %","Injection","","Piece","lidocaine|2|injection","4dfde7e1-6782-4444-8186-3e68b34d1147","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"136","136","9","Linezolid","600 mg/300 mL","Injection","","Piece","linezolid|600mg300ml|injection","b030f5cf-5a30-408d-a731-259ba47d7e68","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"138","138","9","Loratadine","5 mg/5 mL","Oral Solution","","Piece","loratadine|5mg5ml|oralsolution","2d1929d0-7e39-4670-ac31-b3e0e2ee4d53","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"139","139","9","Meloxicam","7.5 mg","Tablet","","Tablet","meloxicam|75mg|tablet","51a98922-daae-4531-a445-276581b8d5f5","EXISTING_MATCH","Explicit tablet dosage form."
"140","140","9","Losartan","25 mg","Tablet","","Tablet","losartan|25mg|tablet","9c4f123a-5f5d-41b2-abba-346ae0c8cd0c","EXISTING_MATCH","Explicit tablet dosage form."
"141","141","9","Leuprolide","3.75 mg","Injection (depot)","","Piece","leuprolide|375mg|injectiondepot","b3bce73c-2494-45be-ab10-41b23f3a391b","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"142","142","10","Mitomycin","2 mg","Injection","","Piece","mitomycin|2mg|injection","b4736c26-a47a-404c-a385-c2889604ba43","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"143","143,144,145","10","Magnesium Sulphate","50 %","Injection","","Piece","magnesiumsulphate|50|injection","03e699c4-3c06-41fb-8518-32b9d4789f41","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"146","146","10","Oxytocin","5 IU/1 mL","Injection","","Piece","oxytocin|5iu1ml|injection","6b58c58f-0dfc-43c3-9b0c-e1b25f5894da","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"147","147","10","Mefanamic Acid","500 mg","Tablet","","Tablet","mefanamicacid|500mg|tablet","f2d6a482-f415-4d24-9d8d-2b3fb52dee47","EXISTING_MATCH","Explicit tablet dosage form."
"149","149,189,317","10","Cefepime","500 mg","Injection","","Piece","cefepime|500mg|injection","b0bc2711-a5fa-464a-9dfd-bacd7674e137","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"150","150","10","Sitagliptin","25 mg","Tablet","","Tablet","sitagliptin|25mg|tablet","bd6699de-b964-47ec-944c-1a71ba4d49d8","EXISTING_MATCH","Explicit tablet dosage form."
"151","151","10","Meropenem","1 g","Injection","","Piece","meropenem|1g|injection","18724e02-2ca0-4b83-854f-70edee31fca4","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"152","152","10","Aceclofenac","100 mg","Tablet","","Tablet","aceclofenac|100mg|tablet","4e74c9f0-e594-4775-a91f-c9c0a29f6d20","EXISTING_MATCH","Explicit tablet dosage form."
"153","153","10","Mesna","200 mg/2 mL","Injection","","Piece","mesna|200mg2ml|injection","af2abb6b-d0d5-4896-b190-0596f22459bf","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"154","154","10","Methylphenidate","10 mg","Tablet","","Tablet","methylphenidate|10mg|tablet","16b70fdd-ab40-4be0-add7-54bdbf4da0fa","EXISTING_MATCH","Explicit tablet dosage form."
"155","155","10","Metoclopramide","10 mg","Tablet","","Tablet","metoclopramide|10mg|tablet","a22f7e89-37ae-46e0-9f5c-5a274c3fc57c","EXISTING_MATCH","Explicit tablet dosage form."
"156","156","10","Metoclopramide","10 mg/2 mL","Injection","","Piece","metoclopramide|10mg2ml|injection","3356cf6d-1405-4d3f-8151-bcbe956a140f","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
"157","157","10","Milrinone","1 mg/1 mL","Injection","","Piece","milrinone|1mg1ml|injection","b2c4705b-756a-47a3-a9e3-0e08bfaee0ca","EXISTING_MATCH","Neutral base unit; commercial presentation is not unambiguous from the source."
